genre,danceability
flare.genre.post-post-hardcore,0.45026
flare.genre.electro-industrial,0.56566
flare.genre.gypsy jazz,0.65648
flare.genre.oi,0.40824
flare.genre.latin electronica,0.69602
flare.genre.straight edge,0.37436
flare.genre.christian hardcore,0.41554
flare.genre.kabarett,0.670404255319
flare.genre.kraut rock,0.32884
flare.genre.steampunk,0.55562
flare.genre.singaporean pop,0.519959183673
flare.genre.swedish hard rock,0.450306122449
flare.genre.world fusion,0.61988
flare.genre.slovak pop,0.593551020408
flare.genre.dansktop,0.61
flare.genre.surf music,0.48416
flare.genre.thai idol,0.61632
flare.genre.gabba,0.4819375
flare.genre.gothic rock,0.511163265306
flare.genre.chaotic hardcore,0.30798
flare.genre.nu age,0.292156
flare.genre.bhangra,0.70896
flare.genre.canzone napoletana,0.3925
flare.genre.retro metal,0.323714285714
flare.genre.cello,0.351394
flare.genre.mandible,0.32963
flare.genre.ballroom,0.380748
flare.genre.ye ye,0.5211
flare.genre.tango,0.469346938776
flare.genre.swedish jazz,0.476795918367
flare.genre.dixieland,0.58238
flare.genre.old-time,0.553979166667
flare.genre.laboratorio,0.492279591837
flare.genre.mashup,0.661714285714
flare.genre.christelijk,0.433043478261
flare.genre.freakbeat,0.52052
flare.genre.punjabi,0.740469387755
flare.genre.alternative roots rock,0.4367
flare.genre.futurepop,0.56302
flare.genre.vancouver indie,0.54334
flare.genre.christian punk,0.52754
flare.genre.choro,0.6021
flare.genre.african rock,0.67472
flare.genre.deep talent show,0.56138
flare.genre.e6fi,0.41562
flare.genre.drone metal,0.326967346939
flare.genre.nordic house,0.682510204082
flare.genre.electro bailando,0.73998
flare.genre.early music,0.275384
flare.genre.psychobilly,0.47342
