genre,acousticness
neofolk,0.284611275918
neo-rockabilly,0.3787748
judaica,0.34398496
deep flow,0.0848741842105
japanese psychedelic,0.1969297808
ragtime,0.920632653061
anarcho-punk,0.1030821834
workout,0.0742696
austrian hip hop,0.186881916667
guidance,0.7133278
traditional british folk,0.780755102041
calypso,0.7827
orquesta tipica,0.9088
swiss hip hop,0.155056416667
geek rock,0.216255730612
deep adult standards,0.78854
blaskapelle,0.799419148936
classic french pop,0.29127151
nwothm,0.0180574144898
deep smooth jazz,0.246517518
deep dance pop,0.120752265306
dark black metal,0.0235037769388
abstract,0.41247793125
tone,0.851494541667
neo-synthpop,0.07583698
minimal melodic techno,0.108671361702
nerdcore,0.14249682
ukulele,0.798916
kurdish folk,0.400859795918
ukrainian rock,0.245680204082
kayokyoku,0.593255102041
new beat,0.00819789
lithumania,0.250192291667
modern southern rock,0.1192034
euroska,0.0756561083333
k-rock,0.460593612245
classic soundtrack,0.57941
zouglou,0.213046530612
australian indie,0.187934121
indie emo,0.0883522326531
lo star,0.2296094
atmospheric post-metal,0.0312114822
broken beat,0.13933322
acousmatic,0.91096
minimal wave,0.142961700612
solipsynthm,0.089845
swedish prog,0.25273512
alternative americana,0.44125755102
darkstep,0.0089066977551
nl folk,0.42417264
marching band,0.744416326531
lounge house,0.405884893617
semba,0.386174583333
underground power pop,0.152642924
psychedelic blues-rock,0.144917595833
crack rock steady,0.06446789
vegan straight edge,0.181542312245
motivation,0.804828
schranz,0.0114862842857
traditional swing,0.268128104167
chalga,0.149913346939
musiikkia lapsille,0.492586086957
footwork,0.068827238
breakcore,0.258548547755
yoik,0.465374916667
leeds indie,0.16411014449
tribute,0.283384653061
funky breaks,0.0494003959184
indian classical,0.796666666667
didgeridoo,0.341387805106
classic dutch pop,0.232738428571
slc indie,0.1145380774
deep contemporary country,0.297890755102
danish indie,0.33306244375
belgian indie,0.301524375
jazz brass,0.727040816327
deep brazilian pop,0.664835319149
corrosion,0.035486658
black death,0.0069596764
japanese jazztronica,0.119175822
electro trash,0.0134685469388
classic afrobeat,0.2488056
gothic americana,0.41339755102
slavic metal,0.0497456968
dark hardcore,0.0982402826087
scratch,0.262576897959
traditional scottish folk,0.466245282245
hebrew pop,0.12924976
garage punk blues,0.39686457
hindustani classical,0.821270833333
indie singer-songwriter,0.6377586
deep german punk,0.0526036545652
deep disco,0.10112049
electronicore,0.0034158822449
zydeco,0.223072
usbm,0.1039962476
string folk,0.864836734694
beach music,0.4106
luk thung,0.535426530612
michigan indie,0.36188854
south african jazz,0.39223
islamic recitation,0.892387755102
spanish invasion,0.376411875
russian alternative,0.0575106722917
deep orchestral,0.969531914894
mallet,0.512300604167
