,genre,mode
923,classic icelandic pop,0.595744680851
924,arab folk,0.416666666667
925,southern soul blues,0.66
926,perth indie,0.64
927,neue deutsche welle,0.408163265306
928,swiss rock,0.5
929,zouk,0.66
930,deep melodic metalcore,0.62
931,sega,0.387755102041
932,mod revival,0.78
933,pakistani pop,0.755102040816
934,deep soul house,0.42
935,french folk pop,0.333333333333
936,deep christian rock,0.9
937,c86,0.78
938,rio de la plata,0.708333333333
939,native american,0.428571428571
940,college a cappella,0.84
941,uk dub,0.265306122449
942,jazz bass,0.54
943,miami bass,0.48
944,ambient idm,0.5
945,polish reggae,0.34693877551
946,nordic folk,0.7
947,hauntology,0.54
948,vienna indie,0.5625
949,swamp pop,0.9
950,modern uplift,0.8125
951,catalan folk,0.708333333333
952,chanson quebecois,0.75
953,girl group,0.84
954,brazilian composition,0.458333333333
955,digital hardcore,0.34
956,hip hop tuga,0.553191489362
957,hip hop quebecois,0.3125
958,deep neofolk,0.591836734694
959,vintage french electronic,0.448979591837
960,samba-enredo,0.521739130435
961,vocaloid,0.530612244898
962,italian jazz,0.66
963,croatian pop,0.458333333333
964,spanish folk,0.88
965,hard minimal techno,0.530612244898
966,vintage tango,0.5
967,desert blues,0.58
968,garage punk,0.78
969,bounce,0.681818181818
970,hiplife,0.625
971,mexican son,0.791666666667
972,german oi,0.551020408163
973,classical guitar,0.69387755102
974,drumfunk,0.387755102041
975,czech hip hop,0.652173913043
976,appalachian folk,0.857142857143
977,vietnamese pop,0.42
978,balkan brass,0.54
979,free improvisation,0.510638297872
980,riot grrrl,0.64
981,rosary,0.9
982,electronica,0.74
983,underground latin hip hop,0.520833333333
984,karneval,0.744680851064
985,serialism,0.591836734694
986,cante flamenco,0.468085106383
987,tico,0.408163265306
988,boogie-woogie,0.72
989,morna,0.22
990,ecuadoria,0.469387755102
991,traditional rock 'n roll,0.86
992,estonian pop,0.56
993,tin pan alley,0.84
994,german show tunes,0.65
995,disco polo,0.32
996,portuguese pop,0.826086956522
997,mbalax,0.551020408163
998,harpsichord,0.38
999,deep soundtrack,0.58
1000,polish indie,0.367346938776
1001,cyber metal,0.387755102041
1002,kids dance party,0.76
1003,metal guitar,0.58
1004,thrash core,0.56
1005,outsider,0.714285714286
1006,full on,0.541666666667
1007,composition d,0.625
1008,deep liquid,0.469387755102
1009,kompa,0.78
1010,new age piano,0.56
1011,heavy alternative,0.69387755102
1012,jumpstyle,0.44
1013,electropunk,0.56
1014,classic czech pop,0.744186046512
1015,stomp and whittle,0.74
1016,slovak hip hop,0.577777777778
1017,beats,0.571428571429
1018,brutal deathcore,0.62
1019,finnish indie,0.541666666667
1020,makossa,0.571428571429
1021,qawwali,0.64
1022,kwaito house,0.551020408163
1023,witch house,0.775510204082
1024,j-ambient,0.771428571429
1025,atmospheric post rock,0.74
1026,zillertal,0.95652173913
1027,gothic alternative,0.34
1028,funk carioca,0.604166666667
1029,latvian pop,0.510638297872
1030,crust punk,0.68
1031,oshare kei,0.645833333333
1032,blackgaze,0.612244897959
1033,psych gaze,0.69387755102
1034,grunge pop,0.673469387755
1035,orquesta tropical,0.469387755102
1036,ghazal,0.48
1037,classic venezuelan pop,0.65306122449
1038,rva indie,0.76
1039,irish indie,0.62
1040,denver indie,0.74
1041,world chill,0.30612244898
1042,deep gothic post-punk,0.74
1043,ethiopian pop,0.571428571429
1044,deep rai,0.478260869565
1045,electro dub,0.347826086957
1046,traditional ska,0.84
1047,hungarian hip hop,0.533333333333
1048,fake,0.72
1049,beatdown,0.78
1050,deep acoustic pop,0.69387755102
1051,drone folk,0.857142857143
1052,canadian hip hop,0.428571428571
1053,louisville indie,0.64
1054,dirty texas rap,0.510204081633
1055,neofolk,0.489795918367
1056,neo-rockabilly,0.66
1057,judaica,0.44
1058,deep flow,0.5
1059,japanese psychedelic,0.7
1060,ragtime,0.714285714286
1061,anarcho-punk,0.72
1062,workout,0.56
1063,austrian hip hop,0.5625
1064,guidance,0.56
1065,traditional british folk,0.755102040816
1066,calypso,0.88
1067,orquesta tipica,0.4
1068,swiss hip hop,0.416666666667
1069,geek rock,0.775510204082
1070,deep adult standards,0.86
1071,blaskapelle,0.808510638298
1072,classic french pop,0.5
1073,nwothm,0.510204081633
1074,deep smooth jazz,0.54
1075,deep dance pop,0.510204081633
1076,dark black metal,0.551020408163
1077,abstract,0.5625
1078,tone,0.770833333333
1079,neo-synthpop,0.54
1080,minimal melodic techno,0.425531914894
1081,nerdcore,0.62
1082,ukulele,0.92
1083,kurdish folk,0.285714285714
1084,ukrainian rock,0.265306122449
1085,kayokyoku,0.591836734694
1086,new beat,0.4375
1087,lithumania,0.625
1088,modern southern rock,0.92
1089,euroska,0.5625
1090,k-rock,0.673469387755
1091,classic soundtrack,0.58
1092,zouglou,0.591836734694
1093,australian indie,0.66
1094,indie emo,0.448979591837
1095,lo star,0.72
